CUB_M_DUCT         | 5.1 Non-CR HVAC           | Generic Models            | 2 | Stool Support(2)
CUB_M_DUCT         | 5.1 Non-CR HVAC           | Mechanical Equipment      | 51 | USF-Direct_LOD300_SelectedSizes(2), mh_MEQ_Box(11), mh_MEQ_Wall cut out(2), mh_MEQ_Vane Axial Fan AXC1120-Horizontal(2),
CUB_M_DUCT         | 5.1 Non-CR HVAC           | Pipe Accessories          | 2 | Ball Valve - 50-150 mm(2)
CUB_M_DUCT         | 5.1 Non-CR HVAC           | Pipe Fittings             | 14 | mh_PF_Elbow - Welded - Generic1(2), MH_M_Tee - Generic(2), MH_Bend - PVC - Sch 40 - DWV(2), MH_Tee Sanitary - PVC - Sch 
CUB_M_DUCT         | 5.1 Non-CR HVAC           | Pipe Insulations          | 2 | Pipe Insulation(2)
CUB_M_DUCT         | 5.1 Non-CR HVAC           | Pipes                     | 3 | Pipe Types(3)
CUB_M_DUCT         | 5.1 Non-CR HVAC           | Structural Columns        | 2 | mu_Column_Triangle_v1(2)
CUB_M_EGEX         | 6.1 Exhaust Ducting       | <No level>                | 856 | Center line(711), Generic Models(5), Lines(43), Mechanical Equipment(13), Plates(84)
CUB_M_EGEX         | 6.1 Exhaust Ducting       | LEVEL 1 FLOOR PLAN        | 623 | Air Terminals(2), Center line(421), Center Line(160), Duct Accessories(2), Duct Fittings(6), Ducts(3), Floors(2), Generi
CUB_M_EGEX         | 6.1 Exhaust Ducting       | Level 6                   | 26 | Air Terminals(2), Center Line(6), Duct Accessories(2), Duct Fittings(2), Generic Models(3), Pipe Accessories(2), Pipe Fi
CUB_M_EGEX         | 6.1 Exhaust Ducting       | MEZZANINE FLOOR PLAN      | 527 | Center Line(493), Duct Accessories(3), Generic Models(3), Mechanical Equipment(6), Pipe Accessories(5), Pipe Fittings(13
CUB_M_EGEX         | 6.1 Exhaust Ducting       | ROAD LEVEL                | 16 | Center Line(4), Generic Models(3), Pipe Accessories(2), Pipe Fittings(3), Pipes(2), Structural Columns(2)
CUB_M_EGEX         | 6.1 Exhaust Ducting       | ROOF LEVEL                | 15 | Center Line(4), Generic Models(3), Mechanical Equipment(2), Pipe Accessories(2), Pipe Fittings(2), Pipes(2)
CUB_M_EGEX         | 6.1 Exhaust Ducting       | TOP OF SLAB               | 27 | Air Terminals(2), Center Line(5), Floors(7), Generic Models(3), Mechanical Equipment(3), Pipe Fittings(3), Pipes(2), Str
CUB_P_PLUM         | 2.3 PHE Works             | Pipe Accessories          | 11 | Ball Valve(3), Pressure_Reducing_Valve(2), Pressure Gauge(2), Double_Check_Valve_Assemblies-WATTS-(125-200_LF007-QT, 125
CUB_P_PLUM         | 2.3 PHE Works             | Pipe Fittings             | 18 | MH_Elbow(2), MH_Tee Reducing 2(2), MH_Tee Sanitary - PVC - Sch 40 - DWV(2), M_Tee Reducing Vent(2), Flange - Slip-on - S
CUB_P_PLUM         | 2.3 PHE Works             | Pipes                     | 5 | Pipe Types(5)
CUB_P_PLUM         | 2.3 PHE Works             | Plumbing Equipment        | 2 | mh_P_Chamber(2)
CUB_P_PLUM         | 2.3 PHE Works             | Plumbing Fixtures         | 6 | mh_P_Safety shower(2), mh_P_Multi Floor Drain(2), Shafety Shower Open Type(2)
CUB_S_STRU         | 3. Structure              | Bolts                     | 4 | (unnamed)(4)
CUB_S_STRU         | 3. Structure              | Floors                    | 20 | Floor(20)
CUB_S_STRU         | 3. Structure              | Generic Models            | 44 | Lift_Dock_Advance_Series4000(2), TOP Grating Family(2), Generic Models 21(2), Generic Models 22(2), Generic Models 23(2)
CUB_S_STRU         | 3. Structure              | Plates                    | 3098 | (unnamed)(3098)
CUB_S_STRU         | 3. Structure              | Railings                  | 4 | Railing(4)
CUB_S_STRU         | 3. Structure              | Stairs                    | 3 | Assembled Stair(3)
CUB_S_STRU         | 3. Structure              | Structural Columns        | 82 | SHS-Square Hollow Sections-Column(4), SHS-Square Hollow Sections-Column(Cold)(2), Plate-Column(2), UB-Universal Beams-Co
CUB_S_STRU         | 3. Structure              | Structural Connections    | 16 | CONCRETE ENCASING(2), Structural Connections(2), Structural Connections1(2), Structural Connections3(2), Structural Conn
CUB_S_STRU         | 3. Structure              | Structural Foundations    | 7 | Foundation Slab(7)
CUB_S_STRU         | 3. Structure              | Structural Framing        | 47 | Plate Girder(7), UB-Universal Beams(9), SFC(3), CHS-Circular Hollow Sections(Cold)(2), mh_STB2_BuiltUpSections(2), L-Ang
CUB_S_STRU         | 3. Structure              | Walls                     | 11 | Basic Wall(11)
FAB_A_ARCH         | 4.2 CR Architecture       | Curtain Panels            | 7 | System Panel(3), ICTPL-CP-FFU(2), ICTPL-CP-Perforated(2)
FAB_A_ARCH         | 4.2 CR Architecture       | Curtain Wall Mullions     | 2 | Rectangular Mullion(2)
FAB_A_ARCH         | 4.2 CR Architecture       | Doors                     | 21 | mh_DOOR_Double Door Vision Panel(8), mh_DOOR_Single Door  Vision Panel(6), mh_DOOR_Double sliding(2), mh_DOOR-Overhead-R
FAB_A_ARCH         | 4.2 CR Architecture       | Floors                    | 7 | Floor(7)
FAB_A_ARCH         | 4.2 CR Architecture       | Generic Models            | 11 | Face based opening(2), Face based opening1(2), drain cover(2), Family2(5)
FAB_A_ARCH         | 4.2 CR Architecture       | Handrails                 | 3 | Handrail Type(3)
FAB_A_ARCH         | 4.2 CR Architecture       | Railings                  | 3 | Railing(3)
FAB_A_ARCH         | 4.2 CR Architecture       | Specialty Equipment       | 4 | mh_SPEQ_ Ladder(2), mh_RAFL__Pedestal Support_600mm(2)
FAB_A_ARCH         | 4.2 CR Architecture       | Stairs                    | 2 | Assembled Stair(2)
FAB_A_ARCH         | 4.2 CR Architecture       | Structural Columns        | 2 | mu_Column_Triangle_v1(2)
FAB_A_ARCH         | 4.2 CR Architecture       | Top Rails                 | 2 | Top Rail Type(2)
FAB_A_ARCH         | 4.2 CR Architecture       | Walls                     | 14 | Basic Wall(14)
FAB_A_ARCH         | 4.2 CR Architecture       | Windows                   | 9 | Parametric_Louver_Window_15219(9)
FAB_E_ELEC         | 10.2 CR Elect.            | Cable Tray Fittings       | 12 | MH_Ladder Horizontal Tee(2), MH_Ladder Vertical Outside Bend(2), MH_Ladder_Rack-Fitting-Chalfant-Horizontal_Bend_90(2), 
FAB_E_ELEC         | 10.2 CR Elect.            | Cable Trays               | 4 | Cable Tray with Fittings(2), Cable Tray without Fittings(2)
FAB_E_ELEC         | 10.2 CR Elect.            | Duct Fittings             | 8 | Rectangular Square Bend - Slip Joint(2), Rectangular Medium Radius Bend - Flanged(2), Rectangular Concentric Taper - Fla
FAB_E_ELEC         | 10.2 CR Elect.            | Ducts                     | 6 | Rectangular Duct(6)
FAB_E_ELEC         | 10.2 CR Elect.            | Electrical Equipment      | 70 | MH_ADMIN EMG POWER PANEL  GROUND FLOOR(35), mh_Equipment_Grating1(4), mh_PanelStand(2), mh_@E_XMFR(2), MH_415 UPS(6), mh
FAB_E_ELEC         | 10.2 CR Elect.            | Generic Models            | 2 | P9013_Post_Base(2)
FAB_E_ELEC         | 10.2 CR Elect.            | Lighting Fixtures         | 10 | TEARDROP LIGHT blue(2), TEARDROP LIGHT green(2), mh_LGHT_BayLight_Normal(2), MH_LGHT_TubeLight(2), MH_LGHT_SuspendedLigh
FAB_E_ELEC         | 10.2 CR Elect.            | Mechanical Equipment      | 8 | 800A canopy-front end(2), 800A canopy-01(2), CSA 2-01-E(2), scs 084(2)
FAB_E_ELEC         | 10.2 CR Elect.            | Specialty Equipment       | 2 | MH_Bus Duct Support(2)
FAB_E_ELEC         | 10.2 CR Elect.            | Structural Columns        | 2 | mu_Column_Triangle_v1(2)
FAB_F_FPRT         | 11.2 SPRINKLER SYSTEM     | Flex Pipes                | 3 | Flex Pipe Round(3)
