NWC Source | BQ Sheet | Revit Category | Type Name | Instance Count
CUB_A_ARCH | 4.1 Non-CR Architecture | Walls | Walls 23 | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Walls | Walls 22 | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Walls | Walls 47 | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Walls | Walls 77 | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Walls | Walls 78 | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Walls | Walls 79 | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Walls | Walls 21 | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Walls | Walls 83 | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Walls | Walls 84 | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Walls | Walls 35 | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Walls | Walls 36 | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Walls | Walls 37 | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Walls | Walls 38 | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Walls | Walls 39 | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Walls | Walls 40 | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Walls | Walls 41 | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Walls | Walls 42 | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Walls | Walls 43 | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Walls | Walls 44 | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Walls | Walls 45 | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Walls | Walls 46 | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Walls | Walls 82 | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Walls | Walls 93 | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Walls | Walls 95 | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Walls | Walls 96 | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Walls | Walls 97 | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Walls | Walls 98 | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Walls | Walls 94 | 1
FAB_A_ARCH | 4.2 CR Architecture | Curtain Panels | System Panel | 2
FAB_A_ARCH | 4.2 CR Architecture | Curtain Panels | ICTPL-CP-FFU | 1
FAB_A_ARCH | 4.2 CR Architecture | Curtain Panels | ICTPL-CP-Perforated | 1
FAB_A_ARCH | 4.2 CR Architecture | Curtain Wall Mullions | Rectangular Mullion | 1
FAB_A_ARCH | 4.2 CR Architecture | Doors | mh_DOOR_Double Door Vision Panel | 7
FAB_A_ARCH | 4.2 CR Architecture | Doors | mh_DOOR_Single Door  Vision Panel | 5
FAB_A_ARCH | 4.2 CR Architecture | Doors | mh_DOOR_Double sliding | 1
FAB_A_ARCH | 4.2 CR Architecture | Doors | mh_DOOR-Overhead-Rolling | 1
FAB_A_ARCH | 4.2 CR Architecture | Doors | mh_DOOR_Single Door_metal | 2
FAB_A_ARCH | 4.2 CR Architecture | Floors | Floor | 6
FAB_A_ARCH | 4.2 CR Architecture | Generic Models | Face based opening | 1
FAB_A_ARCH | 4.2 CR Architecture | Generic Models | Face based opening1 | 1
FAB_A_ARCH | 4.2 CR Architecture | Generic Models | drain cover | 1
FAB_A_ARCH | 4.2 CR Architecture | Generic Models | Family2 | 4
FAB_A_ARCH | 4.2 CR Architecture | Handrails | Handrail Type | 2
FAB_A_ARCH | 4.2 CR Architecture | Lines | Model Lines | 1
FAB_A_ARCH | 4.2 CR Architecture | Lines | Model Lines | 1
FAB_A_ARCH | 4.2 CR Architecture | Lines | Model Lines | 1
FAB_A_ARCH | 4.2 CR Architecture | Lines | Model Lines | 1
FAB_A_ARCH | 4.2 CR Architecture | Lines | Model Lines | 1
FAB_A_ARCH | 4.2 CR Architecture | Lines | Model Lines | 1
FAB_A_ARCH | 4.2 CR Architecture | Lines | Model Lines | 1
FAB_A_ARCH | 4.2 CR Architecture | Lines | Model Lines | 1
FAB_A_ARCH | 4.2 CR Architecture | Lines | Model Lines | 1
FAB_A_ARCH | 4.2 CR Architecture | Lines | Model Lines | 1
FAB_A_ARCH | 4.2 CR Architecture | Lines | Model Lines | 1
FAB_A_ARCH | 4.2 CR Architecture | Lines | Model Lines | 1
FAB_A_ARCH | 4.2 CR Architecture | Lines | Model Lines | 1
FAB_A_ARCH | 4.2 CR Architecture | Lines | Model Lines | 1
FAB_A_ARCH | 4.2 CR Architecture | Lines | Model Lines | 1
FAB_A_ARCH | 4.2 CR Architecture | Lines | Model Lines | 1
FAB_A_ARCH | 4.2 CR Architecture | Lines | Model Lines | 1
FAB_A_ARCH | 4.2 CR Architecture | Lines | Model Lines | 1
FAB_A_ARCH | 4.2 CR Architecture | Lines | Model Lines | 1
FAB_A_ARCH | 4.2 CR Architecture | Lines | Model Lines | 1
FAB_A_ARCH | 4.2 CR Architecture | Lines | Model Lines | 1
FAB_A_ARCH | 4.2 CR Architecture | Lines | Model Lines | 1
FAB_A_ARCH | 4.2 CR Architecture | Railings | Railing | 2
FAB_A_ARCH | 4.2 CR Architecture | Specialty Equipment | mh_SPEQ_ Ladder | 1
FAB_A_ARCH | 4.2 CR Architecture | Specialty Equipment | mh_RAFL__Pedestal Support_600mm | 1
FAB_A_ARCH | 4.2 CR Architecture | Stairs | Assembled Stair | 1
FAB_A_ARCH | 4.2 CR Architecture | Structural Columns | mu_Column_Triangle_v1 | 1
FAB_A_ARCH | 4.2 CR Architecture | Top Rails | Top Rail Type | 1
FAB_A_ARCH | 4.2 CR Architecture | Walls | Basic Wall | 13
FAB_A_ARCH | 4.2 CR Architecture | Windows | Parametric_Louver_Window_15219 | 8
CUB_S_STRU | 3. Structure | Bolts |  | 1
CUB_S_STRU | 3. Structure | Bolts |  | 1
CUB_S_STRU | 3. Structure | Floors | Floor | 19
CUB_S_STRU | 3. Structure | Generic Models | Lift_Dock_Advance_Series4000 | 1
CUB_S_STRU | 3. Structure | Generic Models | TOP Grating Family | 1
CUB_S_STRU | 3. Structure | Generic Models | Generic Models 21 | 1
CUB_S_STRU | 3. Structure | Generic Models | Generic Models 22 | 1
CUB_S_STRU | 3. Structure | Generic Models | Generic Models 23 | 1
CUB_S_STRU | 3. Structure | Generic Models | Generic Models 24 | 1
CUB_S_STRU | 3. Structure | Generic Models | Generic Models 25 | 1
CUB_S_STRU | 3. Structure | Generic Models | Generic Models 6 | 1
CUB_S_STRU | 3. Structure | Generic Models | Generic Models 7 | 1
CUB_S_STRU | 3. Structure | Generic Models | Generic Models 8 | 1
CUB_S_STRU | 3. Structure | Generic Models | Generic Models 9 | 1
CUB_S_STRU | 3. Structure | Generic Models | Generic Models 10 | 1
CUB_S_STRU | 3. Structure | Generic Models | Generic Models 11 | 1
CUB_S_STRU | 3. Structure | Generic Models | Generic Models 12 | 1
CUB_S_STRU | 3. Structure | Generic Models | Generic Models 13 | 1
CUB_S_STRU | 3. Structure | Generic Models | Generic Models 14 | 1
CUB_S_STRU | 3. Structure | Generic Models | Generic Models 15 | 1
CUB_S_STRU | 3. Structure | Generic Models | Generic Models 16 | 1
CUB_S_STRU | 3. Structure | Generic Models | Generic Models 17 | 1
CUB_S_STRU | 3. Structure | Generic Models | Generic Models 18 | 1
CUB_S_STRU | 3. Structure | Generic Models | Generic Models 19 | 1
CUB_S_STRU | 3. Structure | Generic Models | Generic Models 20 | 1
CUB_S_STRU | 3. Structure | Lines | Model Lines | 1
CUB_S_STRU | 3. Structure | Lines | Model Lines | 1
CUB_S_STRU | 3. Structure | Lines | Model Lines | 1
CUB_S_STRU | 3. Structure | Lines | Model Lines | 1
CUB_S_STRU | 3. Structure | Plates |  | 1
CUB_S_STRU | 3. Structure | Plates |  | 1
