
=== 10.1 Non-CR Elect. ===
  Electrical Equipment   | MH_ADMIN EMG POWER PANEL  GROUND FLOOR | MSI1-FAB-1-F17FW--CR-415LDB-132 × 1
  Electrical Equipment   | MH_ADMIN EMG POWER PANEL  GROUND FLOOR | MSI1-FAB-1-F17FW--CR-415LDB-242 × 1
  Electrical Equipment   | MH_ADMIN EMG POWER PANEL  GROUND FLOOR | MSI1-FAB-1-F17FW-415ELDB-131 × 1
  Electrical Equipment   | MH_ADMIN EMG POWER PANEL  GROUND FLOOR | MSI1-FAB-1-F17FW-415LDB-241 × 1
  Electrical Equipment   | MH_ADMIN EMG POWER PANEL  GROUND FLOOR | MSI1-FAB-1-F17FW-415LDB-243 × 1
  Electrical Equipment   | MH_ADMIN EMG POWER PANEL  GROUND FLOOR | MSI1-FAB-1-F17FW-7AB-208PP-002 × 1
  Electrical Equipment   | MH_ADMIN EMG POWER PANEL  GROUND FLOOR | MSI1-FAB-1-F17FX-PRO-415UPSDB-011 × 1
  Electrical Equipment   | MH_ADMIN EMG POWER PANEL  GROUND FLOOR | MSI1-FAB-1-F19FW-7AB-208PP-003 × 1
  Electrical Equipment   | MH_ADMIN EMG POWER PANEL  GROUND FLOOR | MSI1-FAB-1-F20FW-7AB-208PDB-002 × 1
  Electrical Equipment   | MH_ADMIN EMG POWER PANEL  GROUND FLOOR | PDB-001 × 1
  Electrical Equipment   | MH_ADMIN EMG POWER PANEL  GROUND FLOOR | PROPOSED RPDB × 1
  Electrical Equipment   | MH_ADMIN EMG POWER PANEL  GROUND FLOOR | PROPOSED VENDOR PANEL GAS ROOM × 1
  Electrical Equipment   | MH_ADMIN EMG POWER PANEL  GROUND FLOOR | PROPOSED VENDOR PANELHPCDA & XCDA × 1
  Electrical Equipment   | MH_ADMIN EMG POWER PANEL  GROUND FLOOR | TUM 480V ICOG-77 × 1
  Electrical Equipment   | MH_ADMIN EMG POWER PANEL  GROUND FLOOR | TUM 480V ICOG-78 × 1
