Sheet,WBS,S.NO,Description,Unit,Qty
"7.2 Utility_HPCDA","7.2","1.1.1","PIPE, ASME B36.19, PE, EFW, ASTM A312-TP 304L, SCH 40S,  20 to 40 micron internal finished","",0
"7.2 Utility_HPCDA","7.2","1","25 NB","Mtr",0
"7.2 Utility_HPCDA","7.2","2","40 NB","Mtr",0
"7.2 Utility_HPCDA","7.2","1.1.2","PIPE, ASME B36.19, BE, EFW, ASTM A312-TP 304L, SCH 10S,  20 to 40 micron internal finished","",0
"7.2 Utility_HPCDA","7.2","1","50 NB","Mtr",0
"7.2 Utility_HPCDA","7.2","1.2","Supply, erection, testing and commissioning of  FITTINGS.","",0
"7.2 Utility_HPCDA","7.2","1.2.1","Elbow, 90 Deg., ASME B16.11, SW, 3000#, ASTM A 182 GR.F304L, 20 to 40 micron internal finished","",0
"7.2 Utility_HPCDA","7.2","1","25 NB","Nos",0
"7.2 Utility_HPCDA","7.2","2","40 NB","Nos",0
"7.2 Utility_HPCDA","7.2","1.2.2","Elbow, 90 Deg., ASME B16.9, BW, 1.5D, ASTM A 403 GR.WP304L-S , 20 to 40 micron internal finished, SCH Match to Pipe","",0
"7.2 Utility_HPCDA","7.2","1","50 NB","Nos",0
"7.2 Utility_HPCDA","7.2","1.2.3","Elbow, 45 Deg., ASME B16.11, SW, 3000#, ASTM A 182 GR.F304L, 20 to 40 micron internal finished","",0
"7.2 Utility_HPCDA","7.2","1","40 NB","Nos",0
"7.2 Utility_HPCDA","7.2","1.2.4","Elbow, 45 Deg., ASME B16.9, BW, 1.5D, ASTM A 403 GR.WP304L-S , 20 to 40 micron internal finished, SCH Match to Pipe","",0
"7.2 Utility_HPCDA","7.2","1","50 NB","Nos",0
"7.2 Utility_HPCDA","7.2","1.2.5","TEE, Equal, ASME B16.11,SW, 3000#, ASTM A 182 GR.F304L-S, 20 to 40 micron internal finished","",0
"7.2 Utility_HPCDA","7.2","1","40 NB","Nos",0
"7.2 Utility_HPCDA","7.2","1.2.6","TEE, Reducing, ASME B16.11,SW, 3000#, ASTM A 182 GR.F304L-S, 20 to 40 micron internal finished","",0
"7.2 Utility_HPCDA","7.2","1","40 NB x 15 NB","Nos",0
"7.2 Utility_HPCDA","7.2","1.2.7","TEE, Reducing, ASME B16.9, BW, ASTM A 403 GR. F304L-S, 20 to 40 micron internal finished","",0
"7.2 Utility_HPCDA","7.2","1","50 NB x 25 NB","Nos",0
"7.2 Utility_HPCDA","7.2","2","50 NB x 40 NB","Nos",0
"7.2 Utility_HPCDA","7.2","2","100 NB X 40 NB","Nos",0
"7.2 Utility_HPCDA","7.2","1.2.8","Reducer Eccentric, ASME B16.9, BW, ASTM A 403 GR. F304L-S, 20 to 40 micron internal finished","",0
"7.2 Utility_HPCDA","7.2","1","100 NB x 50 NB","Nos",0
"7.2 Utility_HPCDA","7.2","1.2.9","HALF COUPLING, ASME B16.11,SW, 3000#, ASTM A 182 GR.F304L, 20 to 40 micron internal finished","",0
"7.2 Utility_HPCDA","7.2","1","15 NB","Nos",0
"7.2 Utility_HPCDA","7.2","2","25 NB","Nos",0
"7.2 Utility_HPCDA","7.2","3","40 NB","Nos",0
"7.2 Utility_HPCDA","7.2","1.2.10","PLUG THDM, ASME B16.11, 3000#, ASTM A 182 GR.F304L, THD(M), 20 to 40 micron internal finished","",0
"7.2 Utility_HPCDA","7.2","1","15 NB","Nos",0
"7.2 Utility_HPCDA","7.2","1.2.11","Nipple (POE x TOE), ASME B36.19, ASTM A312-TP 304L, 75MM LONG","",0
"7.2 Utility_HPCDA","7.2","1","15 NB","Nos",0
"7.2 Utility_HPCDA","7.2","2","25 NB","Nos",0
"7.2 Utility_HPCDA","7.2","1.2.12","FLANGE (SW RF ),  ASTM A182 F304, ASME B 16.5 150#, RF, Gasket - EPDM &  Fasteners - ASTM A 193 Gr B7 / ASTM A 194 Gr 2H","",0
"7.2 Utility_HPCDA","7.2","1","25 NB","Nos",0
"7.2 Utility_HPCDA","7.2","2","40 NB","Nos",0
"7.2 Utility_HPCDA","7.2","1.2.13","FLANGE (SO RF ), ASTM A182 F304L, ASME B16.5 150#, RF, with Gasket - EPDM &  Fasteners - ASTM A 193 Gr B7 / ASTM A 194 Gr 2H","",0
"7.2 Utility_HPCDA","7.2","1","50 NB","Nos",0
"7.2 Utility_HPCDA","7.2","1.2.14","BLIND FLANGE WITH GASKET, ASTM A182 F304L, ASME B 16.5, 150#, RF","",0
"7.2 Utility_HPCDA","7.2","1","25 NB","Nos",0
"7.2 Utility_HPCDA","7.2","2","40 NB","Nos",0
"7.2 Utility_HPCDA","7.2","3","50 NB","Nos",0
"7.2 Utility_HPCDA","7.2","1.3","BALL VALVE","",0
"7.2 Utility_HPCDA","7.2","1.3.1","Ball Valve, Full Bore, ISO 17292, CL800, Floating Ball, Lever Operated, ASTM A 182 F304L, SS Ball, Seat-PTFE With Secondary Metal Seat, Female Threaded Ends, NPT","",0
"7.2 Utility_HPCDA","7.2","1","15 NB","Nos",0
"7.2 Utility_HPCDA","7.2","2","25 NB","Nos",0
"7.2 Utility_HPCDA","7.2","1.3.2","Ball Valve, Full Bore, ISO 17292, CL150, ASME B 16.5, RF, Two Piece Floating Ball, Lever Operator, ASTM A 351 Gr. CF8M, Seat-PTFE With Secondary Metal Seat, DN150 & above to have Gear Operator, Valve with Gasket - EPDM &  Fasteners - ASTM A 193 Gr B7 / ASTM A 194 Gr 2H","",0
"7.2 Utility_HPCDA","7.2","1","40 NB","Nos",0
"7.2 Utility_HPCDA","7.2","2","50 NB","Nos",0
"7.2 Utility_HPCDA","7.2","1.4","CHECK VALVE","",0
"7.2 Utility_HPCDA","7.2","1.4.1","Piston Lift, ASTM A182 GR F304L, FLRF, CL 150,  ISO 15761, with Gasket - EPDM &  Fasteners - ASTM A 193 Gr B7 / ASTM A 194 Gr 2H","",0
"7.2 Utility_HPCDA","7.2","1","40 NB","Nos",0
"7.2 Utility_HPCDA","7.2","1.5","Instruments (To be interface with FMCS SCADA at high level)","",0
"7.2 Utility_HPCDA","7.2","1.5.1","Pressure Gauge (Magnehelic)","",0
"7.2 Utility_HPCDA","7.2","","Supply, Installation, Testing And Commissioning of Pressure Gauge suitable for HPCDA.","",0
"7.2 Utility_HPCDA","7.2","1","15 NB","Nos",0
"7.2 Utility_HPCDA","7.2","2","25 NB","Nos",0
"7.2 Utility_HPCDA","7.2","1.5.2","Temperature Gauge (Magnehelic)","",0
"7.2 Utility_HPCDA","7.2","","Supply, Installation, Testing And Commissioning of Temperature Gauge suitable for HPCDA.","",0
"7.2 Utility_HPCDA","7.2","1","25 NB","Nos",0
"7.2 Utility_HPCDA","7.2","1.5.3","Pressure Indicating Transmitter","",0
"7.2 Utility_HPCDA","7.2","","Supply, Installation, Testing And Commissioning of Pressure Indicating Transmitter suitable for HPCDA.","",0
"7.2 Utility_HPCDA","7.2","1","25 NB","Nos",0
"7.2 Utility_HPCDA","7.2","1.5.4","Temperature Indicating Transmitter","",0
"7.2 Utility_HPCDA","7.2","","Supply, Installation, Testing And Commissioning of Temperature Indicating Transmitter suitable for HPCDA.","",0
"7.2 Utility_HPCDA","7.2","1","40 NB","Nos",0
"7.2 Utility_HPCDA","7.2","1.5.5","Flow Meter","",0
"7.2 Utility_HPCDA","7.2","","Supply, Installation, Testing And Commissioning of Flow meter suitable for HPCDA.","",0
"7.2 Utility_HPCDA","7.2","1","50 NB","Nos",0
"7.2 Utility_HPCDA","7.2","1.5.6","Drain Port (Half Coupling + Nipple (POE x TOE) + Ball Valve THDF + Plug THDM)","",0
"7.2 Utility_HPCDA","7.2","","Supply, Installation, Testing And Commissioning of drain port at suitable location","",0
"7.2 Utility_HPCDA","7.2","1","25 NB","Nos",0
"7.2 Utility_HPCDA","7.2","1.6","HPCDA Systems - Equipment","",0
"7.2 Utility_HPCDA","7.2","1.6.1","Booster compressors (Oil free) with VFD motors, Air cooled type along with filter","",0
"7.2 Utility_HPCDA","7.2","1","150 Nm3/hr (Size to be confirmed by Vendor) (1W+1S)","Nos",0
"7.2 Utility_HPCDA","7.2","1.6.2","After Coolers","",0
"7.2 Utility_HPCDA","7.2","1","150 Nm3/hr (Size to be confirmed by Vendor) (1W+1S)","Nos",0
"7.2 Utility_HPCDA","7.2","1.6.3","HPCDA Receiver","",0
"7.2 Utility_HPCDA","7.2","1","2m3 (Size to be confirmed by Vendor)","Nos",0
"7.2 Utility_HPCDA","7.2","1.7","Testing","",0
"7.2 Utility_HPCDA","7.2","1.7.1","Mobilization & demobilization (testing team & equipment)","Lot",0
"7.2 Utility_HPCDA","7.2","1.7.2","Compressor/N₂ utility usage & operator","Hours",0
"7.2 Utility_HPCDA","7.2","1.7.3","100% pneumatic testing of HPCDA pipeline network (zero pressure drop tolerance)","Lot",0
"7.2 Utility_HPCDA","7.2","1.7.4","Supply of equipment, consumables & calibrated instruments","Lot",0
"7.2 Utility_HPCDA","7.2","1.7.5","Temporary provisions: connection ports, drains & reinstatement","Lot",0
"7.2 Utility_HPCDA","7.2","1.7.6","Flushing & purging for each lateral post-pressure test","Lot",0
"7.2 Utility_HPCDA","7.2","1.7.7","Particle count testing for each lateral","Lot",0
"7.2 Utility_HPCDA","7.2","1.7.8","Moisture content (dew point) testing for each lateral","Lot",0
"7.2 Utility_HPCDA","7.2","1.7.9","Oil content testing for each lateral","Lot",0
"7.2 Utility_HPCDA","7.2","1.7.10","Safety arrangements for pneumatic testing","Lot",0
"7.2 Utility_HPCDA","7.2","1.7.11","Third‑Party Inspection (TPI) / Client witness","Visit/ Lot",0
"7.2 Utility_HPCDA","7.2","1.7.12","Documentation: Pneumatic Test Pack & detailed commissioning report","Lot",0
"7.2 Utility_HPCDA","7.2","1.7.13","Leak rectification, tightening & minor materials","Lot",0
"7.2 Utility_HPCDA","7.2","1.7.14","Reinstatement of removed instruments/valves post-test","Lot",0
"7.2 Utility_HPCDA","7.2","1.7.15","Contingency for re-testing / repeat inspection","Lot",0
"7.2 Utility_HPCDA","7.2","1.8","Commissioning","",0
"7.2 Utility_HPCDA","7.2","1.8.1","SIPP (Micron inhouse protocol)","Lot",0
"7.2 Utility_HPCDA","7.2","1.8.2","PTP procedure","Lot",0
"7.2 Utility_HPCDA","7.2","1.8.3","Coordination for tie‑in opening as per SIPP","Lot",0
"7.2 Utility_HPCDA","7.2","1.8.4","HPCDA turn on to 1 laterals","Lot",0
"7.2 Utility_HPCDA","7.2","1.8.5","Monitoring the system loading","Lot",0
"7.2 Utility_HPCDA","7.2","1.8.6","Site Acceptance Test","Lot",0
"7.2 Utility_HPCDA","7.2","1.8.7","spares (GC to proposed)","Nos.",0
"7.2 Utility_HPCDA","7.2","1.9","Operation & maintenance Manual","Hours",0
"7.2 Utility_HPCDA","7.2","1.10","Training to Micron maintance & operation team","2 time",0
"7.2 Utility_HPCDA","7.2","1.11","DLP (Defects liability Period-24 months)","-",0
"7.3 PV","7.3","1.1","Pipe","",0
"7.3 PV","7.3","","Providing, fixing, jointing and testing in position Pipe along with fitting, UPVC Type 4 Gr. 1, ASTM D 1784, SCH 80 for Process Vacuum System","",0
"7.3 PV","7.3","1","50 NB","Mtr",95
"7.3 PV","7.3","2","80 NB","Mtr",100
"7.3 PV","7.3","3","150 NB","Mtr",17
"7.3 PV","7.3","1.2","90 ELBOW","",0
"7.3 PV","7.3","1","50 NB","Nos",6
"7.3 PV","7.3","2","80 NB","Nos",3
"7.3 PV","7.3","3","150 NB","Nos",3
"7.3 PV","7.3","1.3","45 ELBOW","",0
"7.3 PV","7.3","1","50 NB","Nos",1
"7.3 PV","7.3","2","80 NB","Nos",5
"7.3 PV","7.3","3","150 NB","Nos",3
"7.3 PV","7.3","1.4","FLANGE","",0
"7.3 PV","7.3","1","50 NB","Nos",5
"7.3 PV","7.3","2","80 NB","Nos",6
"7.3 PV","7.3","3","150 NB","Nos",2
"7.3 PV","7.3","1.5","BLIND FLANGE","",0
"7.3 PV","7.3","","Supply, Installation, Testing And Commissioning of blind flange including matching flange, fastners and gasket","",0
"7.3 PV","7.3","1","50 NB","Nos",2
"7.3 PV","7.3","2","80 NB","Nos",2
"7.3 PV","7.3","3","150 NB","Nos",1
"7.3 PV","7.3","1.6","REDUCING TEE (With Reducing Bush)","",0
"7.3 PV","7.3","1","50 NB X 15 NB","Nos",2
"7.3 PV","7.3","2","50 NB X 25 NB","Nos",29
"7.3 PV","7.3","3","80 NB X 15 NB","Nos",2
"7.3 PV","7.3","4","80 NB X 25 NB","Nos",42
"7.3 PV","7.3","5","150 NB X 50 NB","Nos",1
"7.3 PV","7.3","6","150 NB X 80 NB","Nos",2
"7.3 PV","7.3","1.7","REDUCER (With Reducing Bush)","",0
"7.3 PV","7.3","1","80 NB X 15 NB","Nos",1
"7.3 PV","7.3","1.8","Nipple (POExTOE) , THDM, 75mm Long","",0
"7.3 PV","7.3","1","15 NB","Nos",5
"7.3 PV","7.3","2","25 NB","Nos",71
"7.3 PV","7.3","1.9","Nipple (THDM) , THDM, 75mm Long","",0
"7.3 PV","7.3","1","15 NB","Nos",5
"7.3 PV","7.3","1.10","Plug (THDM)","",0
"7.3 PV","7.3","1","25 NB","Nos",71
"7.3 PV","7.3","1.11","COUPLING","",0
"7.3 PV","7.3","1","80 NB","Nos",5
"7.3 PV","7.3","2.1","Supply, Installation, Testing And Commissioning Of THD(F) Ball Valve, UPVC Construction, Union Style, Full Port, Teflon Seat And Viton “O” Ring, union to be considered with valve","",0
"7.3 PV","7.3","1","15 NB","Nos",5
"7.3 PV","7.3","2","25 NB","Nos",71
"7.3 PV","7.3","2.2","Supply, Installation, Testing And Commissioning of Ball Valve, UPVC Construction, Flanged","",0
"7.3 PV","7.3","1","50 NB","Nos",3
"7.3 PV","7.3","4","80 NB","Nos",4
"7.3 PV","7.3","5","150 NB","Nos",1
"7.3 PV","7.3","3.1","Coumpound Gauge (INDICATOR), THDF (Magnehelic)","",0
"7.3 PV","7.3","","Supply, Installation, Testing And Commissioning of Pressure Gauge suitable for PV.","",0
"7.3 PV","7.3","1","15 NB","Nos",4
"7.3 PV","7.3","3.2","Pressure Transmitter, THDF (Magnehelic)","",0
"7.3 PV","7.3","","Supply, Installation, Testing And Commissioning of Pressure Indicating Transmitter suitable for PV.","",0
"7.3 PV","7.3","1","15 NB","Nos",1
"7.3 PV","7.3","3.3","Drain Port  (Half Coupling + Nipple (POE x TOE) + Ball Valve THDF + Plug THDM)","",0
"7.3 PV","7.3","","Supply, Installation, Testing And Commissioning of drain port at suiatable location","",0
"7.3 PV","7.3","1","25 NB","Nos",5
"7.3 PV","7.3","4.1","Mobilization & demobilization (testing team & equipment)","Lot",0
"7.3 PV","7.3","4.2","Supply of PV Pumps for testing purpose","Lot",0
"7.3 PV","7.3","4.3","100% Vaccum holding testing of PV pipeline network  (zero pressure drop tolerance)","Lot",0
"7.3 PV","7.3","4.4","Supply of equipment, consumables & calibrated instruments","Lot",0
"7.3 PV","7.3","4.5","Temporary provisions: connection ports, drains & reinstatement","Lot",0
"7.3 PV","7.3","4.6","Safety arrangements for pneumatic testing","Lot",0
"7.3 PV","7.3","4.7","Third‑Party Inspection (TPI) / Client witness","Visit/ Lot",0
"7.3 PV","7.3","4.8","Documentation: Pneumatic Test Pack & detailed commissioning report","Lot",0
"7.3 PV","7.3","4.9","Leak rectification, tightening & minor materials","Lot",0
"7.3 PV","7.3","4.1","Reinstatement of removed instruments/valves post-test","Lot",0
"7.3 PV","7.3","4.11","Contingency for re-testing / repeat inspection","Lot",0
"7.3 PV","7.3","5.1","SIPP (Micron inhouse protocol)","Lot",0
"7.3 PV","7.3","5.2","PTP procedure","Lot",0
"7.3 PV","7.3","5.3","Coordination for tie‑in opening as per SIPP","Lot",0
"7.3 PV","7.3","5.4","PV turn on to 4 laterals","Lot",0
"7.3 PV","7.3","5.5","Monitoring the system loading","Lot",0
"7.3 PV","7.3","5.6","Site Acceptance Test","",0
"7.3 PV","7.3","5.7","spares (GC to proposed)","Nos.",0
"7.3 PV","7.3","6","Operation & maintanance Manual","Lot",0
"7.3 PV","7.3","7","Training to Micron maintance & operation team","2 time",0
"7.3 PV","7.3","8","DLP (Defects liablity Period-24 months)","Lot",0
"7.4 PCW","7.4","1.1","PROCESS COOLING WATER PIPING DISTRIBUTION (All piping  and associated components are insulated)","",0
"7.4 PCW","7.4","1.2","PIPE","",0
"7.4 PCW","7.4","","Supplying, eraction, testing and commissioning of approved make Pipe for PCW including cutting, welding, installation etc, as per drawing. The quoted rate shall include for necessary clamp support for PCW pipes & Fittings etc.","",0
"7.4 PCW","7.4","1.2.1","PIPE, ASME B36.19, PE, SMLS, ASTM A312-TP 304L, SCH 40S","",0
"7.4 PCW","7.4","1","25 NB","Mtr",2
"7.4 PCW","7.4","1.2.2","PIPE, ASME B36.19, BE, EFW, ASTM A312-TP 304L, SCH 10S","",0
"7.4 PCW","7.4","1","100 NB","Mtr",116
"7.4 PCW","7.4","2","150 NB","Mtr",1
"7.4 PCW","7.4","3","200 NB","Mtr",183
"7.4 PCW","7.4","1.3","Supply, erection, testing and commissioning of  FITTINGS.","",0
"7.4 PCW","7.4","1.3.1","Elbow, 90 Deg., ASME B16.11, SW, 3000#, ASTM A 182 GR.F304L-S","",0
"7.4 PCW","7.4","1","25 NB","Nos",6
"7.4 PCW","7.4","1.3.2","Elbow, 90 Deg., ASME B16.11, THD, 3000#, ASTM A 182 GR.F304L-S","",0
"7.4 PCW","7.4","1","15 NB","Nos",2
"7.4 PCW","7.4","2","65 NB","Nos",9
"7.4 PCW","7.4","1.3.3","Elbow, 90 Deg., ASME B16.9, BW, 1.5D, ASTM A 403 GR.WP304L-S","",0
"7.4 PCW","7.4","1","200 NB","Nos",27
"7.4 PCW","7.4","1.3.4","Elbow, 45 Deg., ASME B16.9, BW, 1.5D, ASTM A 403 GR.WP304L-S","",0
"7.4 PCW","7.4","1","100 NB","Nos",20
"7.4 PCW","7.4","2","200 NB","Nos",11
"7.4 PCW","7.4","1.3.5","TEE, Equal, ASME B16.9, BW, 1.5D, ASTM A 403 GR.WP304L-S","",0
"7.4 PCW","7.4","1","100 NB","Nos",2
"7.4 PCW","7.4","2","200 NB","Nos",2
"7.4 PCW","7.4","1.3.6","TEE, Reducing, ASME B16.9, BW, ASTM A 403 GR. F304L-S","",0
"7.4 PCW","7.4","1","100 NB X 40 NB","Nos",18
"7.4 PCW","7.4","2","200 NB X 150 NB","Nos",2
"7.4 PCW","7.4","1.3.7","REDUCER CONCENTRIC, ASME B16.9, BW, ASTM A 403 GR. F304L-S","",0
"7.4 PCW","7.4","1","200 NB X 100 NB","Nos",2
"7.4 PCW","7.4","1.3.8","HALF COUPLING, MSS-PS-97, SW, 3000, ASTM A182 GR. F304L-S","",0
"7.4 PCW","7.4","1","15 NB","Nos",4
"7.4 PCW","7.4","2","25 NB","Nos",6
"7.4 PCW","7.4","1.3.9","WELDOLET ASME B16.9, BW, ASTM A182 GR. F304L-S","",0
"7.4 PCW","7.4","1","200 NBX 65 NB","Nos",42
"7.4 PCW","7.4","1.3.10","FLANGE (SO RF ), ASTM A182 F304L, ASME B 16.5 150#, RF, Gasket - EPDM &  Fasteners - ASTM A 193 Gr B7 / ASTM A 194 Gr 2H","",0
"7.4 PCW","7.4","1","100 NB","Nos",4
"7.4 PCW","7.4","2","150 NB","Nos",2
"7.4 PCW","7.4","3","200 NB","Nos",10
"7.4 PCW","7.4","1.3.11","BLIND FLANGE, RF, ASTM A182 F304L, ASME B 16.5 150#","",0
"7.4 PCW","7.4","1","100 NB","Nos",4
"7.4 PCW","7.4","2","150 NB","Nos",2
"7.4 PCW","7.4","3","200 NB","Nos",4
"7.4 PCW","7.4","1.2.12","Nipple (POE x TOE), ASME B36.19, ASTM A312-TP 304L, 75MM LONG","",0
"7.4 PCW","7.4","1","15 NB","Nos",4
"7.4 PCW","7.4","2","25 NB","Nos",6
"7.4 PCW","7.4","3","40 NB","Nos",18
"7.4 PCW","7.4","4","65 NB","Nos",42
"7.4 PCW","7.4","1.2.13","PLUG THDM, ASME B16.11, 3000#, ASTM A 182 GR.F304L, THD(M)","",0
"7.4 PCW","7.4","1","15 NB","Nos",4
"7.4 PCW","7.4","2","40 NB","Nos",18
"7.4 PCW","7.4","3","65 NB","Nos",42
"7.4 PCW","7.4","1.4","BALL VALVE","",0
"7.4 PCW","7.4","1.4.1","Ball Valve, Full Bore, ISO 17292, CL800, Floating Ball, Lever Operator, ASTM A 182 F316, SS Ball, Seat-PTFE With Secondary Metal Seat, Female Threaded Ends, NPT","",0
"7.4 PCW","7.4","1","15 NB","Nos",4
"7.4 PCW","7.4","2","25 NB","Nos",2
"7.4 PCW","7.4","3","40 NB","Nos",18
"7.4 PCW","7.4","4","65 NB","Nos",42
"7.4 PCW","7.4","1.5","BUTTERFLY VALVE","",0
"7.4 PCW","7.4","1.5.1","Supply, Installation, Testing And Commissioning Of Butterfly Valve Concentric, API 609, 150#, Lug Type ASME B 16.5 150#, Body ASTM A 126 Gr. B, Disc SS 316, EPDM Liner, Valves 200 MM & greater with Gear Operator","",0
"7.4 PCW","7.4","1","150 NB","Nos",2
"7.4 PCW","7.4","1.6","Instruments","",0
"7.4 PCW","7.4","1.6.1","Pressure Gauge (INDICATOR), THDF","",0
"7.4 PCW","7.4","","Supply, Installation, Testing And Commissioning of Presuure Gauge suitable for CDA.","",0
"7.4 PCW","7.4","1","15 NB","Nos",4
"7.4 PCW","7.4","1.6.2","Drain Port (Half Coupling + Nipple (POE x TOE) + Ball Valve THDF + Plug THDM)","",0
"7.4 PCW","7.4","","Supply, Installation, Testing And Commissioning of drain port at suiatable location","",0
"7.4 PCW","7.4","1","25 NB","Nos",8
"7.4 PCW","7.4","1.6.3","Air Vent (Half Coupling + Nipple (POE x TOE) + Ball Valve THDF + Plug THDM)","",0
"7.4 PCW","7.4","","Supply, Installation, Testing And Commissioning of DN20 Air vent","",0
"7.4 PCW","7.4","1","25 NB","Nos",8
"7.4 PCW","7.4","1.7","Testing","",0
"7.4 PCW","7.4","1.7.1","Mobilization & demobilization (testing team & equipment)","Lot",0
"7.4 PCW","7.4","1.7.2","Temporary Pump for Testing Purpose","Lit",0
"7.4 PCW","7.4","1.7.3","100% hydrostatic testing of PCW pipeline network  (zero pressure drop tolerance)","Lot",0
"7.4 PCW","7.4","1.7.4","Supply of equipment, consumables & calibrated instruments","Lot",0
"7.4 PCW","7.4","1.7.5","Temporary provisions: connection ports, drains & reinstatement","Lot",0
"7.4 PCW","7.4","1.7.6","Flushing & purging for each lateral post-pressure test","Lot",0
"7.4 PCW","7.4","1.7.7","Safety arrangements for hydrostatic testing","Lot",0
"7.4 PCW","7.4","1.7.8","Third‑Party Inspection (TPI) / Client witness","Visit/ Lot",0
"7.4 PCW","7.4","1.7.9","Documentation: Hydrostatic Test Pack & detailed commissioning report","Lot",0
"7.4 PCW","7.4","1.7.10","Leak rectification, tightening & minor materials","Lot",0
"7.4 PCW","7.4","1.7.11","Reinstatement of removed instruments/valves post-test","Lot",0
"7.4 PCW","7.4","1.7.12","Contingency for re-testing / repeat inspection","Lot",0
"7.4 PCW","7.4","1.8","Commissioning","",0
"7.4 PCW","7.4","1.8.1","SIPP (Micron inhouse protocol)","Lot",0
"7.4 PCW","7.4","1.8.2","PTP procedure","Lot",0
"7.4 PCW","7.4","1.8.3","Coordination for tie‑in opening as per SIPP","Lot",0
"7.4 PCW","7.4","1.8.4","PCW turn on to 4 laterals","Lot",0
"7.4 PCW","7.4","1.8.5","Monitoring the system loading","Lot",0
"7.4 PCW","7.4","1.8.6","Site Acceptance Test","Lot",0
"7.4 PCW","7.4","1.8.7","spares (GC to proposed)","Nos.",0
"7.4 PCW","7.4","1.9","Operation & maintanance Manual","Hours",0
"7.4 PCW","7.4","2.0","Training to Micron maintance & operation team","2 Times",0
"7.4 PCW","7.4","2.1","DLP (Defects liablity Period-24 months)","-",0
"7.4 PCW","7.4","","Any LPOC end connectins shall be remoivable type with isolation valve","",0
"7.5 ICA+SW","7.5","1.1","PIPE","",0
"7.5 ICA+SW","7.5","","Supplying, erection, testing and commissioning of approved make Pipe for ICA including cutting, welding, installation etc, as per drawing. The quoted rate shall include for necessary clamp support for ICA pipes & Fittings etc.","",0
"7.5 ICA+SW","7.5","1.1.1","PIPE, ASME B36.19, PE, EFW, ASTM A312-TP 304L, SCH 40S,  20 to 40 micron internal finished","",0
"7.5 ICA+SW","7.5","1","25 NB","Mtr",73
"7.5 ICA+SW","7.5","2","40 NB","Mtr",97
"7.5 ICA+SW","7.5","1.1.2","PIPE, ASME B36.19, BE,  EFW, ASTM A312-TP 304L, SCH 10S,  20 to 40 micron internal finished","",0
"7.5 ICA+SW","7.5","1","50 NB","Mtr",19
"7.5 ICA+SW","7.5","2","80 NB","Mtr",140
"7.5 ICA+SW","7.5","1.2","Supply, erection, testing and commissioning of  FITTINGS.","",0
"7.5 ICA+SW","7.5","1.2.1","Elbow, 90 Deg., ASME B16.11, SW, 3000#, ASTM A 182 GR.F304L-S, 20 to 40 micron internal finished","",0
"7.5 ICA+SW","7.5","1","25 NB","Nos",22
"7.5 ICA+SW","7.5","2","40 NB","Nos",22
"7.5 ICA+SW","7.5","1.2.2","Elbow, 90 Deg., ASME B16.9, BW, 1.5D, ASTM A 403 GR.WP304L-S , 20 to 40 micron internal finished, SCH Match to Pipe","",0
"7.5 ICA+SW","7.5","1","50 NB","Nos",5
"7.5 ICA+SW","7.5","2","80 NB","Nos",10
"7.5 ICA+SW","7.5","1.2.3","Elbow, 45 Deg., ASME B16.9, BW, 1.5D, ASTM A 403 GR.WP304L-S , 20 to 40 micron internal finished,  SCH Match to Pipe","",0
"7.5 ICA+SW","7.5","1","25 NB","Nos",5
"7.5 ICA+SW","7.5","2","40 NB","Nos",2
"7.5 ICA+SW","7.5","1.2.4","Elbow, 45 Deg., ASME B16.9, BW, 1.5D, ASTM A 403 GR.WP304L-S , 20 to 40 micron internal finished, SCH Match to Pipe","",0
"7.5 ICA+SW","7.5","1","50 NB","Nos",1
"7.5 ICA+SW","7.5","2","80 NB","Nos",3
"7.5 ICA+SW","7.5","1.2.5","TEE, Equal, ASME B16.11,SW, 3000#, ASTM A 182 GR.F304L-S, 20 to 40 micron internal finished","",0
"7.5 ICA+SW","7.5","1","40 NB","Nos",1
"7.5 ICA+SW","7.5","1.2.7","TEE EQUAL, ASME B16.9, BW, ASTM A 403 GR. F304L-S, 20 to 40 micron internal finished,  SCH Match to Pipe","",0
"7.5 ICA+SW","7.5","1","80 NB","Nos",3
"7.5 ICA+SW","7.5","1.2.6","TEE, Reducing, ASME B16.11,SW, 3000#, ASTM A 182 GR.F304L-S, 20 to 40 micron internal finished","",0
"7.5 ICA+SW","7.5","1","40 NB x 25 NB","Nos",12
"7.5 ICA+SW","7.5","1.2.7","TEE, Reducing, ASME B16.9, BW, ASTM A 403 GR. F304L-S, 20 to 40 micron internal finished,  SCH Match to Pipe","",0
"7.5 ICA+SW","7.5","1","50 NB X 25 NB","Nos",2
"7.5 ICA+SW","7.5","2","80 NB x 25 NB","Nos",6
"7.5 ICA+SW","7.5","3","80 NB x 40 NB","Nos",5
"7.5 ICA+SW","7.5","4","80 NB x 50 NB","Nos",3
"7.5 ICA+SW","7.5","1.2.8","EEC. REDUCER, ASME B16.11,SW, 3000#, ASTM A 182 GR.F304L-S, 20 to 40 micron internal finished","",0
"7.5 ICA+SW","7.5","1","40 NB x 25 NB","Nos",1
"7.5 ICA+SW","7.5","1.2.8","EEC. REDUCER, ASME B16.9, BW, ASTM A 403 GR.F304L-S, 20 to 40 micron internal finished, SCH Match to Pipe","",0
"7.5 ICA+SW","7.5","1","80 NB x 40 NB","Nos",1
